time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],hammer_comx,hammer_comy,hammer_comz,hammer_x,hammer_y,hammer_z,hammer_rx,hammer_ry,hammer_rz,hammer_dx,hammer_dy,hammer_dz,hammer_wx,hammer_wy,hammer_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,0.0497240335686,0.00627636519769,0.163530229873,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.0,0.317,0.0,0.317,0.0,0.225,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,0.0497245435843,0.00627550974386,0.163209435035,1.41857907242e-10,-2.23137631767e-10,0.000323519783717,6.28318530699,6.2831853066,1.92345694927e-10,0.0,0.0,5.59916557563e-11,0.00426037576736,6.28318530714,0.0,0.0,4.11448652926e-11,0.00426226683799,6.28318530716,0.0,0.0,0.00426226806851,6.28318530716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.56701799872e-07,3.34731872074e-06,-6.74770064188,9.98027956433e-08,2.1232279738e-06,-6.71445808846e-08,-4.72586913156e-11,0.591396242326,1.96118676854e-10,0.59137733162,1.0259348926e-10,0.591377319315,1.0259348926e-10,0.225000547789,3.33601219402e-06,0.0160823181391,2.80540554953e-08,1.78286410243e-07,8.96288966004e-05,-0.000198027927326,3.24908281328e-05,-4.44319351518e-08,3.6568394082e-05,0.00011570091035,0.00828924573441,-0.00685229610133,0.00216511742008,-8.75380063164e-07,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,0.0497254244378,0.00627328279079,0.162655127629,3.50702337067e-10,-4.46293553001e-10,0.00085784903277,6.2831853069,6.28318530492,6.2831853069,0.0,0.0,8.90256757202e-11,0.0140228974323,6.28318530716,0.0,0.0,6.3842264808e-11,0.0138805360302,6.28318530717,0.0,0.0,0.0138805368627,6.28318530717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67533591246e-06,4.46301837074e-06,-9.88981578814,1.44764896806e-07,3.81034103208e-06,1.92738836904e-07,-8.01610991602e-11,0.810771025677,1.01851860279e-10,0.812194639698,2.97140090311e-11,0.812194631373,2.9709568139e-11,0.225001010042,6.22115853617e-06,0.0161611969008,5.31432170492e-08,3.4044534215e-07,0.00017466005821,-0.000368772803677,5.98313078202e-05,-7.63078825103e-08,4.31589886773e-05,0.000379875954599,0.00772041892967,-0.0224567772805,0.00254972657229,-3.19706564326e-06,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208594609551,0.020859781318,0.020859781332
0.03,0.0497262980654,0.00626944338398,0.162104542092,5.99609766329e-10,-6.69438291668e-10,0.00134325731427,6.28318530687,6.28318530274,6.28318530686,0.0,0.0,1.03071329249e-10,0.0280166149118,4.77182737768e-11,0.0,0.0,7.35838057153e-11,0.0276632242522,3.84465792536e-11,0.0,0.0,0.0276632248687,3.84465792536e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.87153034788e-06,5.57868495382e-06,-11.320846632,1.60729835261e-07,5.20330229832e-06,2.18870090313e-07,-9.38614831107e-11,0.987833850882,-2.38591368884e-10,0.991367757478,-1.92232896268e-10,0.991367751313,-1.92232896268e-10,0.225001426135,9.31940212235e-06,0.0162363666288,7.67214806963e-08,5.20467271891e-07,0.000255356502819,-0.000551745927411,8.43883962332e-05,-1.05606011034e-07,3.14291592388e-05,0.000221227079312,0.00743286889697,-0.013042607972,0.00185282766019,-1.27703846849e-06,0.852744479495,0.852744479495,0.852744479495,0.0,0.0206183759084,0.0206172905268,0.0206172905363
0.04,0.0497270545119,0.00626364391149,0.161626552365,8.99810899353e-10,-8.92571871928e-10,0.00171012141968,6.28318530686,6.2831853004,6.28318530685,0.0,0.0,1.08895115147e-10,0.0453158592102,1.38615341427e-10,0.0,0.0,7.77191644374e-11,0.0447521863286,9.67474989011e-11,0.0,0.0,0.0447521868353,9.67474989011e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26237780172e-06,6.69431820485e-06,-11.9217699165,1.64886446626e-07,6.44962547423e-06,2.29244415664e-07,-9.92359011647e-11,1.1318414079,-6.93076707137e-10,1.13747813671,-4.83737494505e-10,1.13747813165,-4.83737494505e-10,0.225001824541,1.16712707692e-05,0.0163077244476,1.00325051128e-07,6.63148785597e-07,0.000331993522008,-0.000690287559127,0.000107845249265,-1.24902144472e-07,4.1925030209e-05,0.000330482813618,0.00695090534841,-0.0194505878268,0.0024654690405,-2.8780863592e-06,0.842744479495,0.842744479495,0.842744479495,0.0,0.0204239924997,0.0204206660743,0.0204206660813
0.05,0.0497276894905,0.0062555157188,0.161223665843,1.25144839853e-09,-1.11569429831e-09,0.00196267843251,6.28318530686,6.28318529804,6.28318530684,0.0,0.0,1.11499254274e-10,0.0652577881291,2.40917508165e-10,0.0,0.0,7.96527288571e-11,0.064507279622,1.62112989699e-10,0.0,0.0,0.0645072800807,1.62112989699e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.79552881814e-06,7.80991805997e-06,-12.1456730254,1.65067354255e-07,7.62975448922e-06,2.35516246855e-07,-1.0137040176e-10,1.24942211871,-1.20458754083e-09,1.25692720378,-8.10564948495e-10,1.25692719919,-8.10564948495e-10,0.225002052741,1.31036689931e-05,0.0163773530837,1.14473725443e-07,7.52642115895e-07,0.000404638111587,-0.000774423120632,0.000121245006692,-1.29682139803e-07,2.79274294488e-05,0.000192907969434,0.00673405597564,-0.0113204079778,0.00163836191328,-7.81706326556e-07,0.832744479495,0.832744479495,0.832744479495,0.0,0.0202659873887,0.0202603836259,0.0202603836316
0.06,0.049728231207,0.00624471518277,0.160878000866,1.64965170326e-09,-1.33880556835e-09,0.00212704681532,6.28318530686,6.2831852957,6.28318530683,0.0,0.0,1.13024256621e-10,0.0873415830765,3.50029338847e-10,0.0,0.0,8.08393352258e-11,0.0864317395513,2.31780816762e-10,0.0,0.0,0.086431739999,2.31780816762e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.42985233754e-06,8.92548446516e-06,-12.2136962456,1.64507747147e-07,8.78508797083e-06,2.42358266327e-07,-1.02447547093e-10,1.34558416923,-1.75014669423e-09,1.35468260449,-1.15890408381e-09,1.35468260001,-1.15890408381e-09,0.225002338803,1.42931719853e-05,0.0164425879616,1.32772189382e-07,8.29344177029e-07,0.000473646237889,-0.000844167582028,0.00013801084136,-1.32199930146e-07,3.95837202104e-05,0.000148708323915,0.00624488584478,-0.0087158511432,0.00231888329606,-9.98969115178e-07,0.822744479495,0.822744479495,0.822744479495,0.0,0.0201370122809,0.0201293709897,0.0201293709949
0.07,0.0497287107887,0.00623094395029,0.160569863968,2.08739386844e-09,-1.56190568006e-09,0.00223036157015,6.28318530686,6.28318529337,6.28318530681,0.0,0.0,1.14271259122e-10,0.111173637999,4.64179805704e-10,0.0,0.0,8.18198842012e-11,0.110129444796,3.04674507845e-10,0.0,0.0,0.110129445256,3.04674507845e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.13097645959e-06,1.00410173915e-05,-12.2268139684,1.64320459965e-07,9.9353801358e-06,2.51216587775e-07,-1.03295693025e-10,1.42426362001,-2.32089902852e-09,1.43470555204,-1.52337253922e-09,1.43470554744,-1.52337253922e-09,0.225002576687,1.49599381876e-05,0.0165051527147,1.48447688947e-07,8.73740644477e-07,0.000539342742103,-0.000883174523519,0.000151927201676,-1.31101049257e-07,2.25571282983e-05,0.000230292269513,0.00609623955381,-0.0134647875531,0.00131808188681,-8.37840281907e-07,0.812744479495,0.812744479495,0.812744479495,0.0,0.0200315415479,0.0200221585772,0.0200221585823
0.08,0.0497291526742,0.00621395622267,0.160283787681,2.55701835249e-09,-1.78499463602e-09,0.00229411872663,6.28318530686,6.28318529106,6.28318530679,0.0,0.0,1.15466747275e-10,0.136436832523,5.82613957079e-10,0.0,0.0,8.27489188282e-11,0.135279280115,3.80319775672e-10,0.0,0.0,0.135279280605,3.80319775672e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08705861616e-05,1.11565168571e-05,-12.2268776612,1.64727850521e-07,1.10889626605e-05,2.62219386964e-07,-1.04143838956e-10,1.48863167477,-2.91306978539e-09,1.50020719885,-1.90159887836e-09,1.50020719395,-1.90159887836e-09,0.225002826973,1.62751575468e-05,0.0165640428461,1.65382076756e-07,9.63045150059e-07,0.000601522918523,-0.000960018045475,0.00016654443514,-1.341626255e-07,1.58810555579e-05,-7.57529604393e-05,0.00586197782407,0.00442264532371,0.000926522419712,4.28610465906e-07,0.802744479495,0.802744479495,0.802744479495,0.0,0.0199452465499,0.0199343944754,0.0199343944806
0.09,0.0497295732539,0.00619355889168,0.160009384177,3.05109753358e-09,-2.00807243909e-09,0.00233337057161,6.28318530686,6.28318528876,6.28318530676,0.0,0.0,1.16622267399e-10,0.162872208036,7.04852176625e-10,0.0,0.0,8.36335445342e-11,0.161618649244,4.58400428727e-10,0.0,0.0,0.161618649778,4.58400428727e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.26261307831e-05,1.22719828601e-05,-12.2284867711,1.65631352782e-07,1.22484810175e-05,2.75066213327e-07,-1.05006120653e-10,1.54127791964,-3.52426088313e-09,1.55381350756,-2.29200214363e-09,1.55381350222,-2.29200214363e-09,0.225002984606,1.65019568069e-05,0.0166208028146,1.76302412364e-07,9.79028985708e-07,0.000660351241355,-0.000973240415583,0.00017573610221,-1.31888198046e-07,1.9126690039e-06,1.38568136893e-05,0.00562812408524,-0.000804709200588,0.000111116818555,3.24053608269e-07,0.792744479495,0.792744479495,0.792744479495,0.0,0.0198746464287,0.0198625552131,0.0198625552186
